,names,images,features,ratings,prices
0,"
Tata Nexon	",https://media.zigcdn.com/media/model/2023/Mar/nexon-9_360x240.jpg,1199 cc | 24 kmpl | Petrol | Diesel,4.4,"
Rs. 7.79 - 14.34 Lakh	

Check On-road Price

"
1,"
Tata Punch	",https://images.zigcdn.com/images/place_holder_image.png,1199 cc | 20 kmpl | Petrol,4.4,"
Rs. 5.99 - 9.46 Lakh	

Check On-road Price

"
2,"
Tata Harrier	",https://images.zigcdn.com/images/place_holder_image.png,1956 cc | 16 kmpl | Diesel,4.5,"
Rs. 14.99 - 24.06 Lakh	

Check On-road Price

"
3,"
Tata Tiago	",https://images.zigcdn.com/images/place_holder_image.png,1199 cc | 19 kmpl | Petrol | CNG,4.3,"
Rs. 5.53 - 8.04 Lakh	

Check On-road Price

"
4,"
Tata Altroz	",https://images.zigcdn.com/images/place_holder_image.png,1199 cc | 24 kmpl | Petrol | Diesel,4.4,"
Rs. 6.44 - 10.39 Lakh	

Check On-road Price

"
5,"
Tata Tiago EV	",https://images.zigcdn.com/images/place_holder_image.png,250 km/charge | Electric,4.7,"
Rs. 8.69 - 11.99 Lakh	

Check On-road Price

"
6,"
Tata Tigor	",https://images.zigcdn.com/images/place_holder_image.png,1199 cc | 20 kmpl | Petrol | CNG,4.3,"
Rs. 6.19 - 8.89 Lakh	

Check On-road Price

"
7,"
Tata Tigor EV	",https://images.zigcdn.com/images/place_holder_image.png,315 km/charge | Electric,5,"
Rs. 12.49 - 13.75 Lakh	

Check On-road Price

"
8,"
Tata Tiago NRG	",https://images.zigcdn.com/images/place_holder_image.png,1199 cc | 20 kmpl | Petrol | CNG,4.2,"
Rs. 6.61 - 7.94 Lakh	

Check On-road Price

"
9,"
Tata Nexon EV Max	",https://images.zigcdn.com/images/place_holder_image.png,453 Km | Electric,4.3,"
Rs. 16.49 - 18.99 Lakh	

Check On-road Price

"
10,"
Tata Yodha Pickup	",https://images.zigcdn.com/images/place_holder_image.png,2956 cc | Diesel,4.4,"
Rs. 6.94 - 7.49 Lakh	

Check On-road Price

"
11,"
Tata Safari	",https://images.zigcdn.com/images/place_holder_image.png,1956 cc | 16 kmpl | Diesel,4.3,"
Rs. 15.64 - 25.01 Lakh	

Check On-road Price

"
12,"
Tata Nexon EV Prime	",https://images.zigcdn.com/images/place_holder_image.png,312km | Electric,,"
Rs. 14.49 - 17.19 Lakh	

Check On-road Price

"
